"Gilt Name","Close of Business Date","ISIN","Type","Coupon","Maturity","Clean Price","Dirty Price","Yield","Mod Duration","Accrued Interest"
"UKTB  10/23","20/10/2023","GB00BP215225","Bills","N/A","23/10/2023","100.000000","N/A","N/A","N/A","N/A"
"UKTB  10/23","20/10/2023","GB00BP218898","Bills","N/A","30/10/2023","99.899225","N/A","5.260000","0.019159","N/A"
"UKTB  11/23","20/10/2023","GB00BP21BC47","Bills","N/A","06/11/2023","99.797911","N/A","5.279417","0.038279","N/A"
"UKTB  11/23","20/10/2023","GB00BP21DG25","Bills","N/A","13/11/2023","99.696700","N/A","5.287682","0.057360","N/A"
"UKTB  11/23","20/10/2023","GB00BP21H718","Bills","N/A","20/11/2023","99.596236","N/A","5.284692","0.076403","N/A"
"UKTB  11/23","20/10/2023","GB00BP21L579","Bills","N/A","27/11/2023","99.495552","N/A","5.287341","0.095407","N/A"
"UKTB  12/23","20/10/2023","GB00BP21NS45","Bills","N/A","04/12/2023","99.394971","N/A","5.290000","0.114372","N/A"
"UKTB  12/23","20/10/2023","GB00BP21PX38","Bills","N/A","11/12/2023","99.296167","N/A","5.280000","0.133302","N/A"
"UKTB  12/23","20/10/2023","GB00BP21T200","Bills","N/A","18/12/2023","99.195439","N/A","5.286547","0.152190","N/A"
"UKTB  12/23","20/10/2023","GB00BP21WN23","Bills","N/A","27/12/2023","99.066082","N/A","5.293749","0.176419","N/A"
"UKTB  01/24","20/10/2023","GB00BP21YP86","Bills","N/A","02/01/2024","98.979938","N/A","5.298026","0.192536","N/A"
"UKTB  01/24","20/10/2023","GB00BP221835","Bills","N/A","08/01/2024","98.893868","N/A","5.302000","0.208625","N/A"
"UKTB  01/24","20/10/2023","GB00BP225471","Bills","N/A","15/01/2024","98.781496","N/A","5.360000","0.227333","N/A"
"UKTB  01/24","20/10/2023","GB00BP227Q38","Bills","N/A","22/01/2024","98.681343","N/A","5.359796","0.246027","N/A"
"UKTB  01/24","20/10/2023","GB00BP22BH25","Bills","N/A","29/01/2024","98.581291","N/A","5.360009","0.264684","N/A"
"UKTB  02/24","20/10/2023","GB00BP22DJ88","Bills","N/A","05/02/2024","98.477032","N/A","5.376000","0.283290","N/A"
"UKTB  02/24","20/10/2023","GB00BP22GV14","Bills","N/A","12/02/2024","98.382343","N/A","5.358511","0.301886","N/A"
"UKTB  02/24","20/10/2023","GB00BP22LV66","Bills","N/A","19/02/2024","98.277198","N/A","5.376856","0.320411","N/A"
"UKTB  02/24","20/10/2023","GB00BP22PQ93","Bills","N/A","26/02/2024","98.172166","N/A","5.393500","0.338896","N/A"
"UKTB  03/24","20/10/2023","GB00BP22R525","Bills","N/A","04/03/2024","98.069218","N/A","5.403083","0.357348","N/A"
"UKTB  03/24","20/10/2023","GB00BP22SR16","Bills","N/A","11/03/2024","97.966379","N/A","5.412000","0.375761","N/A"
"UKTB  03/24","20/10/2023","GB00BP22X549","Bills","N/A","18/03/2024","97.871882","N/A","5.399000","0.394169","N/A"
"UKTB  03/24","20/10/2023","GB00BP22ZT23","Bills","N/A","25/03/2024","97.774044","N/A","5.395916","0.412526","N/A"
"UKTB  04/24","20/10/2023","GB00BP231Y24","Bills","N/A","02/04/2024","97.662349","N/A","5.393000","0.433460","N/A"
"UKTB  04/24","20/10/2023","GB00BP234P48","Bills","N/A","08/04/2024","97.577866","N/A","5.393000","0.449126","N/A"
"UKTB  04/24","20/10/2023","GB00BP237H78","Bills","N/A","15/04/2024","97.479488","N/A","5.393000","0.467367","N/A"
"UKTB  04/24","20/10/2023","GB00BP239S24","Bills","N/A","22/04/2024","97.381307","N/A","5.393000","0.485573","N/A"
"UKT 0.125 01/24","20/10/2023","GB00BMGR2791","Conventional","0.125","31/01/2024","98.724","98.752533","4.841781","0.270386","0.028533"
"UKT 1 04/24","20/10/2023","GB00BFWFPL34","Conventional","1.000","22/04/2024","98.059","98.061732","4.986586","0.486533","0.002732"
"UKT 2.75 09/24","20/10/2023","GB00BHBFH458","Conventional","2.750","07/09/2024","98.183","98.530527","4.893723","0.838865","0.347527"
"UKT 0.25 01/25","20/10/2023","GB00BLPK7110","Conventional","0.250","31/01/2025","94.418","94.475065","4.827835","1.239866","0.057065"
"UKT 5 03/25","20/10/2023","GB0030880693","Conventional","5.000","07/03/2025","100.196","100.827868","4.846494","1.305741","0.631868"
"UKT 0.625 06/25","20/10/2023","GB00BK5CVX03","Conventional","0.625","07/06/2025","93.707","93.942656","4.697074","1.576162","0.235656"
"UKT 2 09/25","20/10/2023","GB00BTHH2R79","Conventional","2.000","07/09/2025","95.147","95.399747","4.736069","1.800561","0.252747"
"UKT 3.5 10/25","20/10/2023","GB00BPCJD880","Conventional","3.500","22/10/2025","97.422","97.431563","4.870137","1.899239","0.009563"
"UKT 0.125 01/26","20/10/2023","GB00BL68HJ26","Conventional","0.125","30/01/2026","90.609","90.637872","4.526507","2.215546","0.028872"
"UKT 1.5 07/26","20/10/2023","GB00BYZW3G56","Conventional","1.500","22/07/2026","92.249","92.628076","4.531579","2.629393","0.379076"
"UKT 0.375 10/26","20/10/2023","GB00BNNGP668","Conventional","0.375","22/10/2026","88.391","88.392025","4.563037","2.915645","0.001025"
"UKT 4.125 01/27","20/10/2023","GB00BL6C7720","Conventional","4.125","29/01/2027","98.249","99.212995","4.707630","2.988445","0.963995"
"UKT 1.25 07/27","20/10/2023","GB00BDRHNP05","Conventional","1.250","22/07/2027","88.912","89.227897","4.497870","3.574065","0.315897"
"UKT 4.25 12/27","20/10/2023","GB00B16NNR78","Conventional","4.250","07/12/2027","98.926","100.528459","4.537364","3.680016","1.602459"
"UKT 0.125 01/28","20/10/2023","GB00BMBL1G81","Conventional","0.125","31/01/2028","83.203","83.231533","4.490065","4.165529","0.028533"
"UKT 4.5 06/28","20/10/2023","GB00BMF9LG83","Conventional","4.500","07/06/2028","99.481","101.005590","4.625058","4.067010","1.524590"
"UKT 1.625 10/28","20/10/2023","GB00BFX0ZL78","Conventional","1.625","22/10/2028","87.536","87.540440","4.433041","4.700139","0.004440"
"UKT 6 12/28","20/10/2023","GB0002404191","Conventional","6.000","07/12/2028","106.888","109.150295","4.479014","4.321732","2.262295"
"UKT 0.5 01/29","20/10/2023","GB00BLPK7227","Conventional","0.500","31/01/2029","81.194","81.308130","4.552621","5.077959","0.114130"
"UKT 0.875 10/29","20/10/2023","GB00BJMHB534","Conventional","0.875","22/10/2029","81.356","81.358391","4.451413","5.708602","0.002391"
"UKT 0.375 10/30","20/10/2023","GB00BL68HH02","Conventional","0.375","22/10/2030","75.461","75.462025","4.502314","6.744044","0.001025"
"UKT 4.75 12/30","20/10/2023","GB00B24FF097","Conventional","4.750","07/12/2030","101.520","103.310984","4.497420","5.897205","1.790984"
"UKT 0.25 07/31","20/10/2023","GB00BMGR2809","Conventional","0.250","31/07/2031","72.129","72.186065","4.547278","7.508309","0.057065"
"UKT 1 01/32","20/10/2023","GB00BM8Z2T38","Conventional","1.000","31/01/2032","75.556","75.784261","4.583807","7.698124","0.228261"
"UKT 4.25 06/32","20/10/2023","GB0004893086","Conventional","4.250","07/06/2032","97.917","99.519459","4.544046","7.016449","1.602459"
"UKT 3.25 01/33","20/10/2023","GB00BMV7TC88","Conventional","3.250","31/01/2033","89.544","90.285848","4.650518","7.750817","0.741848"
"UKT 0.875 07/33","20/10/2023","GB00BM8Z2S21","Conventional","0.875","31/07/2033","70.515","70.714728","4.666802","9.052330","0.199728"
"UKT 4.625 01/34","20/10/2023","GB00BPJJKN53","Conventional","4.625","31/01/2034","99.100","99.238247","4.737279","8.075794","0.138247"
"UKT 4.5 09/34","20/10/2023","GB00B52WS153","Conventional","4.500","07/09/2034","97.960","98.528681","4.741690","8.441300","0.568681"
"UKT 0.625 07/35","20/10/2023","GB00BMGR2916","Conventional","0.625","31/07/2035","62.850","62.992663","4.790455","10.936861","0.142663"
"UKT 4.25 03/36","20/10/2023","GB0032452392","Conventional","4.250","07/03/2036","94.800","95.337088","4.812082","9.385459","0.537088"
"UKT 1.75 09/37","20/10/2023","GB00BZB26Y51","Conventional","1.750","07/09/2037","68.410","68.631154","4.918093","11.647086","0.221154"
"UKT 3.75 01/38","20/10/2023","GB00BQC4R999","Conventional","3.750","29/01/2038","87.550","88.426359","4.978816","10.553466","0.876359"
"UKT 4.75 12/38","20/10/2023","GB00B00NY175","Conventional","4.750","07/12/2038","97.760","99.550984","4.961812","10.447713","1.790984"
"UKT 1.125 01/39","20/10/2023","GB00BLPK7334","Conventional","1.125","31/01/2039","58.950","59.206793","5.000424","13.198882","0.256793"
"UKT 4.25 09/39","20/10/2023","GB00B3KJDS62","Conventional","4.250","07/09/2039","91.740","92.277088","5.010127","11.145236","0.537088"
"UKT 4.25 12/40","20/10/2023","GB00B6460505","Conventional","4.250","07/12/2040","90.940","92.542459","5.046036","11.566691","1.602459"
"UKT 1.25 10/41","20/10/2023","GB00BJQWYH73","Conventional","1.250","22/10/2041","55.470","55.473415","5.043970","14.954591","0.003415"
"UKT 4.5 12/42","20/10/2023","GB00B1VWPJ53","Conventional","4.500","07/12/2042","92.930","94.626721","5.081905","12.226440","1.696721"
"UKT 3.25 01/44","20/10/2023","GB00B84Z9V04","Conventional","3.250","22/01/2044","76.530","77.351332","5.126087","13.604948","0.821332"
"UKT 3.5 01/45","20/10/2023","GB00BN65R313","Conventional","3.500","22/01/2045","78.970","79.854511","5.137405","13.769888","0.884511"
"UKT 0.875 01/46","20/10/2023","GB00BNNGP775","Conventional","0.875","31/01/2046","44.130","44.329728","5.101456","18.332783","0.199728"
"UKT 4.25 12/46","20/10/2023","GB00B128DP45","Conventional","4.250","07/12/2046","88.060","89.662459","5.137977","13.745193","1.602459"
"UKT 1.5 07/47","20/10/2023","GB00BDCHBW80","Conventional","1.500","22/07/2047","50.630","51.009076","5.114178","17.525019","0.379076"
"UKT 1.75 01/49","20/10/2023","GB00BFWFPP71","Conventional","1.750","22/01/2049","52.730","53.172255","5.100074","17.634545","0.442255"
"UKT 4.25 12/49","20/10/2023","GB00B39R3707","Conventional","4.250","07/12/2049","87.410","89.012459","5.129905","14.620092","1.602459"
"UKT 0.625 10/50","20/10/2023","GB00BMBL1F74","Conventional","0.625","22/10/2050","35.010","35.011708","5.070907","22.205532","0.001708"
"UKT 1.25 07/51","20/10/2023","GB00BLH38158","Conventional","1.250","31/07/2051","43.310","43.595326","5.081533","19.974594","0.285326"
"UKT 3.75 07/52","20/10/2023","GB00B6RNH572","Conventional","3.750","22/07/2052","79.700","80.647690","5.103668","15.825504","0.947690"
